Country,Transactions Qty,Amount Deposit,Amount Withdrawal
Albania,115,907,523
Algeria,3984,13824,20341
American Samoa,26,155,61
Andorra,31,77,155
Angola,4,33,7
Anguilla,30,286,153
Antigua And Barbuda,77,174,282
Argentina,2522,15371,8303
Armenia,411,691,3060
Aruba,79,578,313
Australia,11714,85412,103903
Austria,1559,12461,1381
Azerbaijan,723,2598,1099
Bahamas,721,3144,2003
Bahrain,160,1247,1193
Bangladesh,9708,92845,59912
Barbados,214,1679,612
Belgium,3933,15999,29373
Belize,14463,70901,50814
Benin,68,392,425
Bermuda,4,34,4
Bolivia,319,171,354
Bosnia and Herzegovina,1283,12255,3721
Botswana,694,5547,2951
Brazil,15402,12736,23833
British Indian Ocean Territory,4,5,0
Brunei,107,7,12
Bulgaria,5097,8992,27104
Burkina Faso,117,385,892
Burundi,152,3,690
Cambodia,286,310,1299
Canada,50512,401576,298004
Cape Verde,3,12,25
Cayman Islands,15,118,126
Chile,650,2837,1598
China,7508,20463,28402
Christmas Island,3,19,15
Cocos Islands,1,1,1
Colombia,3435,23956,19039
Congo,38,216,299
Cook Islands,22,84,134
Costa Rica,296,2527,1005
Croatia,2881,3384,20898
Curacao,78,61,331
Cyprus,1306,8270,1026
Czech Republic,5660,52712,17936
Denmark,891,3318,8421
Denmark,891,3318,8421
Djibouti,5,1,1
Dominica,272,1339,555
Dominican Republic,876,766,4659
Ecuador,7842,1478,71214
Egypt,10914,96560,107512
El Salvador,218,832,1561
Eritrea,3,21,16
Estonia,1630,9997,5132
Ethiopia,14,52,48
Faroe Islands,27,141,183
Fiji,17,156,98
Finland,789,5551,7133
France,10863,28057,28145
French Guiana,126,154,497
French Polynesia,86,791,179
Gabon,26,166,63
Gambia,9,59,87
Georgia,1103,2433,821
Germany,16350,119561,13292
Ghana,1871,6871,11889
Gibraltar,100,362,47
Greece,5140,26236,32111
Grenada,31,228,168
Guadeloupe,198,1093,1930
Guam,17,10,72
Guatemala,324,2950,328
Guernsey,41,114,159
Guinea,22,114,200
Guyana,47,207,462
Haiti,41,226,281
Honduras,84,706,88
Hong Kong,1152,6514,7007
Hungary,19170,78296,91344
Iceland,1612,9060,14573
India,66967,440725,603302
Indonesia,10815,80592,41511
Ireland,2345,17466,1680
Israel,3621,6263,31545
Italy,15158,111765,43730
Jamaica,942,5636,6221
Japan,1.543,10847,14086
Jordan,328,1413,2654
Kazakhstan,3.926,30232,2549
Kenya,1.309,7303,389
Kiribati,4,9,30
South Korea,1163,3034,6411
Kuwait,186,377,910
Kyrgyzstan,245,1122,261
Laos,23,54,61
Latvia,2013,20008,19601
Lesotho,25,226,87
Libya,131,717,871
Liechtenstein,26,177,158
Lithuania,13233,77256,104134
Luxembourg,83,494,174
Macau,48,373,87
Macedonia,1084,3309,8531
Madagascar,222,606,863
Malawi,7,33,41
Malaysia,7240,57259,25942
Maldives,131,831,663
Mali,11,81,36
Malta,169,845,626
Marshall Islands,6,4,7
Martinique,92,250,419
Mauritania,25,79,83
Mauritius,628,260,5472
Mexico,3506,22808,28233
Micronesia Federated States,5,20,8
Moldova,1994,7168,13814
Monaco,16,2,56
Mongolia,569,1519,1761
Montenegro,193,683,178
Montserrat,2,17,12
Morocco,3317,31987,15094
Mozambique,25,143,90
Namibia,39,221,180
Nepal,1898,8634,4796
Netherlands,14959,148759,126361
Netherlands Antilles,325,812,875
New Caledonia,28,251,249
New Zealand,4903,18880,6834
Nicaragua,101,537,846
Niger,3,14,24
Nigeria,4039,3899,24583
Norway,1928,13602,16592
Oman,114,83,427
Pakistan,27990,70135,69655
Palau,4,39,27
Palestine,427,1230,1770
Panama,1514,9319,2304
Papua New Guinea,9,71,33
Paraguay,287,2469,1660
Peru,2435,10983,18289
Philippines,7737,13929,73015
Poland,18655,88495,168494
Portugal,25946,49202,180336
Puerto Rico,245,2039,1388
Qatar,204,2007,1255
Reunion,545,3412,1810
Romania,10635,83742,82231
Russian Federation,35166,36607,213471
Saint Kitts and Nevis,66,265,36
Saint Lucia,124,597,934
Saint Vincent and the Grenadines,72,516,344
Samoa,4,32,21
San Marino,8,58,74
Saudi Arabia,3039,14382,5175
Senegal,26,80,68
Serbia,4434,425,39858
Seychelles,350,1970,3414
Sierra Leone,1,5,0
Singapore,2072,2200,17991
Slovakia,1581,5558,9576
Slovenia,1663,8700,14252
Solomon Islands,76,247,580
Somalia,1,7,6
South Africa,3816,24569,11852
S.Georgia and the S.Sandwich Islands,3,0,2
Spain,20587,72983,201949
Sri Lanka,3034,8053,2724
St. Helena,7,36,6
Suriname,29,90,1
Swaziland,45,385,449
Sweden,3552,31947,31467
Switzerland,2007,12938,18818
Syria,8,9,50
Taiwan,2690,15177,14464
Tajikistan,126,155,1243
Tanzania,61,64,418
Thailand,10244,32290,39606
Togo,411,927,2895
Tokelau,13,35,10
Tonga,9,22,56
Trinidad and Tobago,1160,11381,4741
Tunisia,3597,21817,26
Turkey,3363,27408,29504
Turkmenistan,5,23,38
Turks and Caicos Islands,4,38,27
Uganda,776,115,7537
Ukraine,20085,121939,11222
United Arab Emirates,1801,13146,8031
United Kingdom,3802,26657,37860
United States,177673,903449,708320
US Minor Outlying Islands,29,74,42
Uruguay,412,2988,3590
Uzbekistan,355,72,659
Vanuatu,15,54,65
Vatican City State,1,6,10
Venezuela,1440,3289,10271
VietNam,7160,59700,65044
Virgin Islands,4155,38191,29289
VIRGIN ISLANDS US,172,461,13
Wallis and Futuna Islands,3,27,27
Yemen,151,503,233
Zambia,17,66,155